영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명,도시명
Dong Hoi Airport,동호이 공항,VDH,VVDH,아시아,Viet Nam,베트남,Dong Hoi City,둥회 시
Dong Tac Airport,동 탁 공항,TBB,VVTH,아시아,Viet Nam,베트남,Tuy Hoa,투이호아
Dongying Airport,동잉 공항,DOY,ZSDY,아시아,China,중국,Dongying,둥잉
Dortheys Hiyo Eluay International Airport,도르테스 히요 엘루아이 국제공항,DJJ,WAJJ,아시아,Indonesia,인도네시아,Sentani ,센타니
Dortmund Airport,도르트문트 공항,DTM,EDLW,유럽,Germany,독일,Dortmund,도르트문트
Dothan Regional Airport,도탄 지역공항,DHN,KDHN,북미,United States,미국,Dothan AL,도탄 AL
Douala International Airport,두알라 국제공항,DLA,FKKD,아프리카,Cameroon,카메룬,Douala,두알라
Dr Gastao Vidigal Airport,닥터 구아스토 바이디잘 공항,MII,SBML,중남미,Brazil,브라질,Marilia,마릴리아
Dr. Ambedkar International Airport ,암베드카 국제공항 ,NAG,VANP,아시아,India,인도,Nagpur,나그푸르
Dresden Klotzsche Airport,드레스덴 클로츠 공항,DRS,EDDC,유럽,Germany,독일,Dresden,드레스덴
Dubai International Airport,두바이 국제공항,DXB,OMDB,중동,United Arab Emirates,UAE,Dubai,두바이
Dubbo Airport,두보 공항,DBO,YSDU,대양주,Australia,오스트레일리아,Dubbo,더보
Dublin International Airport,더블린 국제공항,DUB,EIDW,유럽,Ireland,아일랜드,Dublin,더블린
Dubrovnik Airport,두브로브니크 공항,DBV,LDDU,유럽,Croatia,크로아티아,Dubrovnik,두브로브니크
Dubuque Regional Airport,더뷰크 지역공항,DBQ,KDBQ,북미,United States,미국,Dubuque IA,두부케 1세
Dundee Airport,던디 공항,DND,EGPN,유럽,United Kingdom,영국,Dundee,던디
Dunedin International Airport,두네딘 국제공항,DUD,NZDN,대양주,New Zealand,뉴질랜드,Dunedin,더니딘
Dunhuang Airport,둔황 공항,DNH,ZLDH,아시아,China,중국,Dunhuang,둔황
Duong Dang Airport,두옹 당 공항,PQC,VVPQ,아시아,Viet Nam,베트남,Phu Quoc,푸꿕
Duqm Airport,두쿰 공항,DQM,OODQ,중동,Oman,오만,Duqm ,듀크m
Durango-La Plata County Airport,두랑고 라플라타 카운티 공항,DRO,KDRO,북미,United States,미국,Durango CO,듀랑고 CO
Durham Tees Valley Airport ,더햄티즈 공항 ,MME,EGNV,유럽,United Kingdom,영국,Teeside,티사이드
Dyce Airport ,다이스 공항,ABZ,EGPD,유럽,United Kingdom,영국,Aberdeen,애버딘
Dzaoudzi Pamandzi Airport,쟈우지 파만지 공항,DZA,FMCZ,아프리카,Mayotte,마요트,Dzaoudzi,짜오우지
Eagle County Regional Airport,이글카운티 지역공항,EGE,KEGE,북미,United States,미국,Eagle CO,이글 CO
East London Airport,이스트런던 공항,ELS,FAEL,아프리카,South Africa,남아프리카,East London,이스트런던
Echterdingen Airport,에흐테르뎅겐 공항,STR,EDDS,유럽,Germany,독일,Stuttgart,슈투트가르트
Edinburgh Airport,에든버러 공항,EDI,EGPH,유럽,United Kingdom,영국,Edinburgh,에든버러
Edmonton International Airport,에드먼턴 국제공항,YEG,CYEG,북미,Canada,캐나다,Edmonton AB,에드먼턴 AB
Edremit Korfez Airport,에드레밋 코르페즈 공항,EDO,LTFD,유럽,Turkey,터키,Balikesir,발리케르
Eduardo Gomes Airport,에두와르토 고메즈 공항,MAO,SBEG,중남미,Brazil,브라질,Manaus,마나우스
Edward River Airport,폼퓨라오 공항,EDR,YPMP,대양주,Australia,오스트레일리아,Pormpuraaw,포르푸라와
Edwards County Airport,에드워즈 카운티 공항,ECU,KECU,유럽,Spain,스페인,Madrid (,마드리드(
Eelde Airport,엘데 공항,GRQ,EHGG,유럽,Netherlands,네덜란드,Groningen,흐로닝언
Egilsstadir Airport,에질스타더 공항,EGS,BIEG,유럽,Iceland,아이슬란드,EgilsstaSir,에길슈타 시르
Eglinton Airport,에글린튼 공항,LDY,EGAE,유럽,United Kingdom,영국,Derry,데리
Eindhoven Airport,에인트호벤 공항,EIN,EHEH,유럽,Netherlands,네덜란드,Eindhoven,아인트호벤
Ejin Banner Taolai Airport,에진 배너 도라이 공항,EJN,ZBEN,아시아,China,중국,Ejin Banner,에진 기
El Alto Airport,엘 알토 공항,LPB,SLLP,중남미,Bolivia,볼리비아,La Paz,라파스
El Alto International Airport,엘 알토 국제공항,LBP,SLLP,아시아,Malaysia,말레이시아,Long Banga ,롱뱅가
El Bagre Airport,엘바그레 공항,EBG,SKEB,중남미,Colombia,콜롬비아,El Bagre,엘바그레
El Bayadh Airport,El Bayadh Airport,EBH,DAOY,아프리카,Algeria,알제리,El Bayadh,엘 바야드
El Cadillal Airport ,엘 카디럴 공항 ,JUJ,SASJ,중남미,Argentina,아르헨티나,Jujuy,쥬쥬이
El Carano Airport,엘 카라노 공항,UIB,SKUI,중남미,Colombia,콜롬비아,Quibdo,키브도
El Eden Airport,엘 에덴 공항,AXM,SKAR,중남미,Colombia,콜롬비아,Armenia,아르메니아
El Embrujo Airport,엘 엠부르조 공항,PVA,SKPV,중남미,Colombia,콜롬비아,Providencia,프로비덴시아
El Maou Airport,엘 마오우 공항,SFA,DTTX,아프리카,Tunisia,튀니지,Sfax,스팍스
El Nohza Airport,엘 노흐자 공항,ALY,HEAX,아프리카,Egypt,이집트,Alexandria,알렉산드리아
El Palomar Airport,엘 팔로마 공항,EPA,SADP,중남미,Argentina,아르헨티나,El Palomar,엘 팔로마
El Paso International Airport,엘패소 국제공항,ELP,KELP,북미,United States,미국,El Paso TX,엘파소 TX
El Plumerillo Airport,엘 풀루메릴로 공항,MDZ,SAME,중남미,Argentina,아르헨티나,Mendoza,멘도사
El Pucu Airport ,엘 퍼쿠 공항 ,FMA,SARF,중남미,Argentina,아르헨티나,Formosa,타이완 섬
El Tajin National Airport,엘 타진 내셔널공항,PAZ,MMPA,중남미,Mexico,멕시코,Poza Rica,포자리카
El Tehuelche Airport,엘 테휴엘체 공항,PMY,SAVY,중남미,Argentina,아르헨티나,Puerto Madryn,푸에르토 매드린
El Yopal Airport,엘 여팔 공항,EYP,SKYP,중남미,Colombia,콜롬비아,Yopal,요팔
Elazig Airport,엘라지그 공항,EZS,LTCA,유럽,Turkey,터키,Elazig,엘라지그
Eldorado Airport,엘도라도 공항,BOG,SKBO,중남미,Colombia,콜롬비아,Bogota,보고타
Eldoret Airport,엘도렛 공항,EDL,HKEL,아프리카,Kenya,케냐,Eldoret,엘도레트
Eleftherios Venizelos International Airport,엘레프테리오스 베니젤로스 국제공항,ATH,LGAV,유럽,Greece,그리스,Athens,아테네
Eliat Airport ,엘라트 공항 ,ETH,LLET,중동,Israel,이스라엘,Eilath,아일랏
Ellington Airport,엘링튼 공항,EFD,KEFD,북미,United States,미국,Houston TX,휴스턴 TX
Elmas Airport,엘마스 공항,CAG,LIEE,유럽,Italy,이탈리아,Cagliari,칼리아리
Eloy Alfaro International Airport,엘로이 알파로 국제공항,MEC,SEMT,중남미,Ecuador,에콰도르,Manta,만타
Eltari Airport,엘타리 공항,KOE,WATT,아시아,Indonesia,인도네시아,Kupang,쿠팡
Emerald Airport,에머럴드 공항,EMD,YEML,대양주,Australia,오스트레일리아,Emerald,에메랄드
Enfidha-Hammamet International Airport,Enfidha-Hammamet 국제공항,NBE,DTNH,아프리카,Tunisia,튀니지,Enfidha,엔피다
Ennis Big Sky Airport,에니스 빅 스카이 에어포트,EKS,KEKS,유럽,Russia,러시아,Shakhtyorsk ,샤흐티오르스크
Enontekio Airport,에논테키외 공항,ENF,EFET,유럽,Finland,핀란드,Enontekio,에논테키오
Enrique Olaya Herrera Airport ,엔리케 울라야 헤레라 공항,EOH,SKMD,중남미,Colombia,콜롬비아,Medellin,메델린
Ensheim Airport,안사임 공항,SCN,EDDR,유럽,Germany,독일,Saarbruecken,자르브뤼켄
Enshi Xujiaping Airport,엔시 서가핑 공항,ENH,ZHES,아시아,China,중국,Enshi,엔시
Entebbe International Airport,엔테베 / 캄팔라 국제공항,EBB,HUEN,아프리카,Uganda,우간다,Entebbe,엔테베
Entzheim Airport ,앙쯔하임 공항 ,SXB,LFST,유럽,France,프랑스,Strasbourg,스트라스부르
Eppley Airfield Airport,에플리 필드,OMA,KOMA,북미,United States,미국,Omaha NE,오마하 NE
Erbil International Airport,에르빌 국제공항,EBL,ORER,중동,Iraq,이라크,Erbil,에르빌
Erenhot Saiwusu International Airport,Erenhot Saiwusu 국제 공항,ERL,ZBER,아시아,China,중국,Erlianhaote,얼리안호테
Erfurt Airport,에르푸르트 공항,ERF,EDDE,유럽,Germany,독일,Erfurt,에르푸르트
Erik Nielsen Whitehorse International Airport,에릭 닐슨 화이트호스 국제공항,YXY,CYXY,북미,Canada,캐나다,Whitehorse YT,백마 YT
Ernesto Cortissoz Airport,에르네스토 코르티쇼즈 공항,BAQ,SKBQ,중남미,Colombia,콜롬비아,Barranquilla,바랑키야
Eros Airport,에로스 공항,ERS,FYWE,아프리카,Namibia,나미비아,Windhoek,윈드후크
Erzincan Airport,에르진잔 공항,ERC,LTCD,유럽,Turkey,터키,Erzincan,에르진칸
Erzurum Airport,에르주룸 공항,ERZ,LTCE,유럽,Turkey,터키,Erzurum,에르주룸
Es Senia Airport,에 세니아 공항,ORN,DAOO,아프리카,Algeria,알제리,Oran,오란
Esbjerg Airport,에스비에르 공항,EBJ,EKEB,유럽,Denmark,덴마크,Esbjerg,에스비에르그
Esenboga Airport,에센보가 공항,ESB,LTAC,유럽,Turkey,터키,Ankara,앙카라
Esperance Airport,에스페란스 공항,EPR,YESP,대양주,Australia,오스트레일리아,Esperance,에스페란스
Esquel Airport,에스퀄 공항,EQS,SAVE,중남미,Argentina,아르헨티나,Esquel,에스켈
Essendon Airport,에션던 공항,MEB,YMEN,대양주,Australia,오스트레일리아,Melbourne,멜버른
Eugene Airport / Mahlon Sweet Field,유진 공항 ,EUG,KEUG,북미,United States,미국,Eugene OR,유진 OR
Eugenio M. de Hostos Airport,에우제니오 M. 데 호스토스 공항,MAZ,TJMZ,중남미,Puerto Rico,푸에르토리코,Mayaguez,마야게스
Eurico Sales Airport,에우리코 살레즈 공항,VIX,SBVT,중남미,Brazil,브라질,Vitoria,빅토리아 주
EuroAirport Basel-Mulhouse-Freiburg,유로공항,BSL,LFSB,유럽,Switzerland,스위스,Basel,바젤
Evansville Regional Airport,에번즈빌 지역공항,EVV,KEVV,북미,United States,미국,Evansville IN,에번스빌 IN
Evelio Javier Airport,에벨리오 하비에르 공항,EUQ,RPVS,아시아,Philippines,필리핀,San Jose de Buenavista ,산호세 데 부에나비스타
Evenes Airport,에베네스 공항,EVE,ENEV,유럽,Norway,노르웨이,Harstad,하르스타드
Exeter International Airport,엑서터 국제공항,EXT,EGTE,유럽,United Kingdom,영국,Exeter,엑서터
Faaa International Airport,파아 공항,PPT,NTAA,대양주,French Plynesia,프랑스령폴리네시아,Papeete,파페에테
Faaite Airport,Faaite 공항,FAC,NTKF,대양주,French Plynesia,프랑스령폴리네시아,Faaite,페이트
Fabio Alberto Leon Bentley Airport,파비오 알베르토 레옹 벤틀레이 공항,MVP,SKMU,중남미,Colombia,콜롬비아,Mitu,미투
Fairbanks International Airport,페어뱅크스 국제공항,FAI,PAFA,북미,United States,미국,Fairbanks AK,페어뱅크스 AK
Fairwood Common Airport,페어우드 커몬 공항,SWS,EGFH,유럽,United Kingdom,영국,Swansea,스완지
Faisalabad International Airport,피살라바드 국제공항,LYP,OPFA,아시아,Pakistan,파키스탄,Faisalabad,파이살라바드
Fakahina Airport,파카히나 공항,FHZ,NTKH,대양주,French Plynesia,프랑스령폴리네시아,Fakahina,파카히나
Fakarava Airport,파카라바 공항,FAV,NTGF,대양주,French Plynesia,프랑스령폴리네시아,Fakarava,파카라바
Falconara Airport,팔코나라 공항,AOI,LIPY,유럽,Italy,이탈리아,Ancona,안코나
Faleolo International Airport,팔레오로 공항,APW,NSFA,대양주,Samoa,사모아,Apia,아피아
Fangatau Airport,팡가토 공항,FGU,NTGB,대양주,French Plynesia,프랑스령폴리네시아,Fangatau,팡가타우
Fare Airport,파레 공항,HUH,NTTH,대양주,French Plynesia,프랑스령폴리네시아,Huahine,화힌
Faro Airport,파루 공항,FAO,LPFR,유럽,Portugal,포르투갈,Faro,파로
Fascene Airport,페신 공항,NOS,FMNN,아프리카,Madagascar,마다가스카르,Nosy Be,노시 비
Fatmawati Soekarno Airport,파트마와티 수카르노 공항,BKS,WIGG,아시아,Indonesia,인도네시아,BENGKULU,벵쿨루
Federal de Bachigualato Airport,페데럴 데 바치구알라토 공항,CUL,MMCL,중남미,Mexico,멕시코,Culiacan,쿨리아칸
Federal del Valle del Fuerte International Airport,페데랄 델 발 델 푸어트 국제공항,LMM,MMLM,중남미,Mexico,멕시코,Los Mochis,로스 모키스
Felix Eboue Airport,로샹보 공항,CAY,SOCA,중남미,French Guiana,프랑스령기아나,Cayenne,카이엔
Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,ABJ,DIAP,아프리카,Cote dIvoire,코트디부아르,Abidjan,아비장
Ferihegy Airport,페리헤기 공항,BUD,LHBP,유럽,Hungary,헝가리,Budapest,부다페스트
Fertilia Airport,퍼틸랴 공항,AHO,LIEA,유럽,Italy,이탈리아,Alghero,알게로
Fisherton Airport ,피셔튼 공항 ,ROS,SAAR,중남미,Argentina,아르헨티나,Rosario,로사리오
Fiumicino Airport ,피우미치노 공항 ,FCO,LIRF,유럽,Italy,이탈리아,Rome,로마
Flamingo International Airport ,플라밍고 국제공항 ,BON,TNCB,중남미,Netherlands Antilles,네덜란드령 카리브,Kralendijk,크라렌디크
Flesland Airport,플레스랜드 공항,BGO,ENBR,유럽,Norway,노르웨이,Bergen,베르겐
Flinders Island Airport,플린더스아일랜드 공항,FLS,YFLI,대양주,Australia,오스트레일리아,Whitemark,화이트마크
Flores Airport,플로레스 공항,FLW,LPFL,유럽,Portugal,포르투갈,Flores,플로레스
Floro Airport ,플로로 공항,FRO,ENFL,유럽,Norway,노르웨이,Floro,플로로
Fontanarossa Airport ,폰타가로싸 공항 ,CTA,LICC,유럽,Italy,이탈리아,Catania,카타니아
Forbes Field,포브스 필드,FOE,KFOE,북미,United States,미국,Topeka KS,토피카 KS
Forli Airport,포를리 공항,FRL,LIPK,유럽,Italy,이탈리아,Forli ,포를리
Forrest Hill Airport,포레스트 힐 공항,WGA,YSWG,대양주,Australia,오스트레일리아,Wagga Wagga,와가와가
Fort Lauderdale-Hollywood International Airport,포트 로더데일 할리우드 국제공항,FLL,KFLL,북미,United States,미국,Fort Lauderdale FL,포트로더데일 FL
Fort McMurray Airport,포트맥머레이 공항,YMM,CYMM,북미,Canada,캐나다,Fort McMurray AB,포트 맥머레이 AB
Fort Smith Regional Airport,포트스미스 지역공항,FSM,KFSM,북미,United States,미국,Fort Smith AR,포트 스미스 AR
Fort Wayne International Airport,포트웨인 국제공항,FWA,KFWA,북미,United States,미국,Fort Wayne IN,포트 웨인 IN
Fort Worth Alliance Airport,포트워스 앨리언스 공항,AFW,KAFW,북미,United States,미국,Fort Worth TX,포트워스 TX
Foshan Shadi Airport,불산 샤디 공항,FUO,ZGFS,아시아,China,중국,Foshan,포산
Franca Airport,프랑카 공항,FRC,SBFC,중남미,Brazil,브라질,Franca,프랑카
Francisco Carle Airport,프란시스코 칼레 공항,JAU,SPJJ,중남미,Peru,페루,Jauja ,자우자
Francisco Mendes Airport ,프란시스코 멘데스 국제공항,RAI,GVNP,아프리카,Cabo Verde,카보베르데,Praia,프라이아
Francisco Pereira Lopes Airport,프란치스코 페레이라 로페즈 공항,QSC,SDSC,중남미,Brazil,브라질,Sao Carlos,상카를로스
Francisco Sa Carneiro Airport ,프란치스코 사 카르네이로 공항 ,OPO,LPPR,유럽,Portugal,포르투갈,Porto,포르투
Francisco Sarabia International Airport ,프란시스 사라비아 국제공항 ,TRC,MMTC,중남미,Mexico,멕시코,Torreon,토리온
Francistown Airport,프란시스타운 공항,FRW,FBFT,아프리카,Botswana,보츠와나,Francistown,프랜시스타운
Frankfurt International Airport ,프랑크푸르트 국제공항 ,FRA,EDDF,유럽,Germany,독일,Frankfurt,프랑크푸르트
Frankton Airport,프랭크톤 공항,ZQN,NZQN,대양주,New Zealand,뉴질랜드,Queenstown,퀸스타운
Frans Kaisiepo Airport ,프랭크 캐시에포 공항 ,BIK,WABB,아시아,Indonesia,인도네시아,Biak,비악
Fresno Yosemite International Airport,프레즈노 요세미티 국제공항,FAT,KFAT,북미,United States,미국,Fresno CA,프레즈노 CA
Friedman Memorial Airport,프라이드먼 미모리얼 공항,SUN,KSUN,북미,United States,미국,Sun Valley ID,Sun Valley ID
Friedrichshafen Airport,프리드리히스하펜 공항 ,FDH,EDNY,유럽,Germany,독일,Friedrichshafen,프리드리히샤펜
Froso Airport,프로소 공항,OSD,ESNZ,유럽,Sweden,스웨덴,Ostersund,오스터선드
Fuaamotu International Airport,후아모투 국제공항,TBU,NFTF,대양주,Tonga,통가,NukuAlofa,누쿠 알로파
Fuerteventura Airport,푸에르트벤츄라 공항,FUE,GCFV,유럽,Spain,스페인,Fuerteventura,푸에르테벤투라
Fuhlsbuettel Airport,풀쉬비텔 공항,HAM,EDDH,유럽,Germany,독일,Hamburg,함부르크
Fukui Airport,후쿠이 공항,FKJ,RJNF,아시아,Japan,일본,Fukui,후쿠이
Fukuoka Airport,후쿠오카 공항,FUK,RJFF,아시아,Japan,일본,Fukuoka,후쿠오카
Fukushima Airport,후쿠시마 공항,FKS,RJSF,아시아,Japan,일본,Sukagawa,스카가와
Fuyang Airport,푸양 공항,FUG,ZSFY,아시아,China,중국,Fuyang,푸양
Fuyuan Dongji Airport,부유 동지 공항,FYJ,ZYFY,아시아,China,중국,Fuyuan,푸위안
Fuyun Koktokay Airport,Fuyun Koktokay Airport,FYN,ZWFY,아시아,China,중국,Fuyun,푸윈
Fuzhou Chengle International Airport,푸저우 쳉글 국제공항,FOC,ZSFZ,아시아,China,중국,Fuzhou,푸저우
Gabes Airport,게이브스 공항,GAE,DTTG,아프리카,Tunisia,튀니지,Gabes,가베스
Gafsa Airport,가프사 공항,GAF,DTTF,아프리카,Tunisia,튀니지,Gafsa,갑사
Gaggal Airport,개갈 공항,DHM,VIGG,아시아,India,인도,Gaggal,개갈
Gainesville Regional Airport,게인즈빌 공항,GNV,KGNV,북미,United States,미국,Gainesville FL,게인즈빌 FL
Galileo Galilei Airport ,갈릴레오 갈릴레이 공항 ,PSA,LIRP,유럽,Italy,이탈리아,Pisa,피사
Gallatin Field Airport,갤러틴 필드 공항,BZN,KBZN,북미,United States,미국,Bozeman MT,보즈만 MT
Gallivare Airport,옐리바레 공항,GEV,ESNG,유럽,Sweden,스웨덴,Gallivare,갈리바레
Gander International Airport,갠더 국제공항,YQX,CYQX,북미,Canada,캐나다,Gander NF,갠더 NF
Gandhidham Airport ,간디햄 ,IXY,VAKE,아시아,India,인도,Kandla,칸들라
Ganja International Airport ,지안쟈 국제공항,KVD,UBBG,아시아,Azerbaijan,아제르바이잔,Ganja,간자
Gannan Xiahe Airport,간난 하하 공항,GXH,ZLXH,아시아,Macao,마카오,Xiahe,샤허
Ganzhou Airport,간저우 공항,KOW,ZSGZ,아시아,China,중국,Ganzhou,간저우
Gap Tallard Airport,갭 탤러드 공항,GAT,LFNA,유럽,France,프랑스,Gap-Tallard,갭-탈라드
Garden City Regional Airport,가든시티 지역공항,GCK,KGCK,북미,United States,미국,Garden City KS,가든시티 KS
Garoua International Airport,가루아 국제공항,GOU,FKKR,아프리카,Cameroon,카메룬,Garoua,가루아
Gary/Chicago International Airport,게리 시카고 국제공항,GYY,KGYY,북미,United States,미국,Gary IN,게리 인
Garze Gesar Airport,가르제 게사르 공항,GZG,ZUGZ,아시아,China,중국,Garze Tibetan Autonomous Prefecture ,가르제 티베트족 자치주
Gasa Airport ,가사 공항 ,JHG,ZPJH,아시아,Macao,마카오,Xishuangbanna,시솽반나
Gassim Regional Airport,가심 지역공항,ELQ,OEGS,중동,Saudi Arabia,사우디아라비아,Gassim,가심
Gatwick Airport,개트윅 공항,LGW,EGKK,유럽,United Kingdom,영국,London,런던
Gaya Airport,가야 공항,GAY,VEGY,아시아,India,인도,Gaya,가야
Gazipasa Alanya Airport,Gazipasa-Alanya 공항,GZP,LTFG,유럽,Turkey,터키,Gazipasa,가지파사
Gelendzhik Airport,겔렌즈지크 공항,GDZ,URKG,유럽,Russia,러시아,Gelendzhik,겔렌지크
General A.V. Cobo Airport,제네랄 A.V 코보 공항,LET,SKLT,중남미,Colombia,콜롬비아,Leticia,레티샤
General Enrique Mosconi Airport,제네랄 엔리케 모스코니 공항,CRD,SAVC,중남미,Argentina,아르헨티나,Comodoro Rivadavia,코모도로 리바다비아
General F. Javier Mina Airport ,제너랄 F. 자비에 미나 공항 ,TAM,MMTM,중남미,Mexico,멕시코,Tampico,탐피코
General Fierro Villalobos Airport ,제너럴 피에르 빌라로보스 공항 ,CUU,MMCU,중남미,Mexico,멕시코,Chihuahua,치와와
General Francisco J. Mujica International Airport,제너널 프란치스코 J. 뮤지카 국제공항,MLM,MMMM,중남미,Mexico,멕시코,Morelia,모렐리아
General Jose de San Martin Airport,제네랄 호세 데 산 마틴 공항,PSS,SARP,중남미,Argentina,아르헨티나,Posadas,포사다스
General Jose M. Yanez Airport ,제너럴 호세 M. 야네즈 공항 ,GYM,MMGM,중남미,Mexico,멕시코,Guaymas,과이마스
General Lucio Blanco Airport ,제네럴 루치오 블랑코 공항 ,REX,MMRX,중남미,Mexico,멕시코,Reynosa,레이노사
General Manuel Marquez de leon Airport ,제너랄 마뉴엘 마르케즈 데 레옹 공항 ,LAP,MMLP,중남미,Mexico,멕시코,La Paz,라파스
General Mariano Escobedo Airport ,제너럴 마리아노 공항 ,MTY,MMMY,중남미,Mexico,멕시코,Monterrey,몬테레이
General Martin Miguel de Guemes Airport ,제너럴 마틴 미구엘 드 게메즈 공항 ,SLA,SASA,중남미,Argentina,아르헨티나,Salta,살타
General Mitchell International Airport,제너랄 미첼 국제공항,MKE,KMKE,북미,United States,미국,Milwaukee WI,밀워키 WI
General Pedro J. Mendez National Airport,제너럴 페드로 J. 멘데즈 내셔널 공항,CVM,MMCV,중남미,Mexico,멕시코,Ciudad Victoria,시우다드 빅토리아
General Pesqueira Garcia Airport ,제네럴 페스케이라 가르시아 공항 ,HMO,MMHO,중남미,Mexico,멕시코,Hermosillo,헤르모실로
General Pico Airport,제너럴피코 공항,GPO,SAZG,중남미,Argentina,아르헨티나,General Pico,피코 장군
General Rafael Buelna Airport ,제너랄 라파엘 부엘나 공항 ,MZT,MMMZ,중남미,Mexico,멕시코,Mazatlan,마자틀란
General Rodolfo Sanchez Taboada International Airport,제너랄 로볼포 산체트 타보다 국제공항,MXL,MMML,중남미,Mexico,멕시코,Mexicali,멕시칼리
General Servando Canales International Airport,제너랄 세르반도 캐널즈 국제공항,MAM,MMMA,중남미,Mexico,멕시코,Matamoros,마타모로스
General Urquiza Airport ,제너럴 어퀴자 공항,PRA,SAAP,중남미,Argentina,아르헨티나,Parana,파라나
Geneva International Airport ,제네바 국제공항 ,GVA,LSGG,유럽,Switzerland,스위스,Geneva,제네바
George Airport,죠지 공항,GRJ,FAGG,아프리카,South Africa,남아프리카,George,조지
George Bush Intercontinental Airport,조지 부쉬 인터콘티넨탈 공항,IAH,KIAH,북미,United States,미국,Houston TX,휴스턴 TX
George F. L. Charles Airport ,비기 공항,SLU,TLPC,중남미,Saint Lucia,세인트루시아,St Lucia,세인트루시아
Gerald R. Ford International Airport,제랄드 R. 포드 국제공항,GRR,KGRR,북미,United States,미국,Grand Rapids MI,그랜드 래피드 MI
Geraldton Airport,제럴턴 공항,GET,YGEL,대양주,Australia,오스트레일리아,Geraldton,제럴드턴
Gerona Costa Brava Airport,지로나 코스타 브라바 공항,GRO,LEGE,유럽,Spain,스페인,Girona,지로나
Ghanzi Airport,간지 공항,GNZ,FBGZ,아프리카,Botswana,보츠와나,Ghanzi,간지
Ghriss Airport,기리스 공항,MUW,DAOV,아프리카,Algeria,알제리,Mascara,마스카라
Gialam Airport,지알람 공항,DIN,VVDB,아시아,Viet Nam,베트남,Dien Bien Phu,디엔비엔푸
Gilgit Airport,길깃 공항,GIL,OPGT,아시아,Pakistan,파키스탄,Gilgit,길깃
Gimhae International Airport,김해 국제공항,PUS,RKPK,아시아,Republic of Korea,대한민국,Busan,부산
Gimpo International Airport,김포 국제공항,GMP,RKSS,아시아,Republic of Korea,대한민국,Seoul,서울
Gino Lisa Airport,지노 리사 공항,FOG,LIBF,유럽,Italy,이탈리아,Foggia,포자
Gizan Regional Airport,기잔 지역공항,GIZ,OEGN,중동,Saudi Arabia,사우디아라비아,Gizan,기산
Glacier Park International Airport,글래셔 파크 국제공항,FCA,KGPI,북미,United States,미국,Kalispell MT,칼리스펠 MT
Gladstone Airport,글래드스톤 공항,GLT,YGLA,대양주,Australia,오스트레일리아,Gladstone,글래드스톤
Glasgow International Airport ,글래스고 국제공항,GLA,EGPF,유럽,United Kingdom,영국,Glasgow,글래스고
Glenegedale Airport,글리니지데일 공항,ILY,EGPI,유럽,United Kingdom,영국,Islay,이즐레이
Gloucestershire Airport,글로스터셔 공항,GLO,EGBJ,유럽,United Kingdom,영국,Gloucester,글로스터
Gobernador Castello Airport,거버네도 카스텔로 공항,VDM,SAVV,중남미,Argentina,아르헨티나,Viedma,비에드마
Gokgeada Airport,Gokgead 공항,GKD,LTFK,유럽,Turkey,터키,Gokgeada,곡가다
Goleniow Airport,골레니요 공항,SZZ,EPSC,유럽,Poland,폴란드,Szczecin,슈체친
Golfo de Morrosquillo Airport,골포드모로스킬로 공항,TLU,SKTL,중남미,Colombia,콜롬비아,Tolu,톨루
Golmud Airport,거얼무 공항,GOQ,ZLGM,아시아,China,중국,Golmud,골무드
Golog Maqin Airport,Golog Maqin 공항,GMQ,ZLGL,아시아,China,중국,Guoluo,구오루오
Goloson International Airport ,골로슨 국제공항 ,LCE,MHLC,중남미,Honduras,온두라스,La Ceiba,라 케이바
Goodyear Municipal Airport,굿이어 시 공항,GYR,KGYR,북미,United States,미국,Goodyear AZ,굿이어 AZ
Gorakhpur Air Force Base,고라크푸르 공군기지,GOP,VEGK,아시아,India,인도,Gorakhpur,고라흐푸르
Gorgan Airport,고간 공항,GBT,OING,중동,Iran,이란,Gorgan,고간
Gorno-Altaysk Airport,고르노-알타이스크 공항,RGK,UNBG,유럽,Russia,러시아,Gorno-Altaysk ,고르노알타이스크
Goto-Fukue Airport,고토 후쿠에 공항,FUJ,RJFE,아시아,Japan,일본,Goto,이동
Govardhanpur Airport,고바르단푸르 공항,JGA,VAJM,아시아,India,인도,Jamnagar,잠나가르
Graciosa Airport,그라치오사 공항,GRW,LPGR,유럽,Portugal,포르투갈,Santa Cruz da Graciosa,산타크루스 다 그라시오사
Grafton Airport,그래프턴 공항,GFN,YGFN,대양주,Australia,오스트레일리아,Grafton,그라프톤
Gran Canaria Airport,그랑 카나리아 공항 ,LPA,GCLP,유럽,Spain,스페인,Gran Canaria,그란 카나리아
Granada Airport,그라나다 공항,GRX,LEGR,유럽,Spain,스페인,Granada,그라나다
Grand Case Airport,그랑 케이스 공항,SFG,TFFG,중남미,Saint Martin ,세인트마틴,Grand Case,그랜드 케이스
Grand Forks International Airport,그랜드포크스 국제공항,GFK,KGFK,북미,United States,미국,Grand Forks ND,그랜드포크스 ND
Grand-Santi Airport,그랜드 - 산티 공항,GSI,SOGS,중남미,French Guiana,프랑스령기아나,Grand-Santi,그랑산티
Grantley Adams International Airport,그랜틀리 아담스 국제공항,BGI,TBPB,중남미,Barbados,바베이도스,Bridgetown,브리지타운
